timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
0.05,1786770662.496,package_spawned,"[1.63188, -1.27756, 1.89196, -2.26718, 4.65654, -0.0]","[-6.50534, -0.04374, 2.15053]",open,pkg_000
3.0333,1786770668.2181,package_spawned,"[1.63184, -1.27745, 1.89207, -2.26711, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
6.0167,1786770673.0835,package_spawned,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_002
10.75,1786770680.3098,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15037]",open,pkg_000
14.2333,1786770686.2761,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_001
19.7,1786770696.121,package_arrived,"[1.63184, -1.27745, 1.89207, -2.2671, 4.65654, -0.0]","[-6.50531, -0.04376, 2.15038]",open,pkg_002
39.2833,1786770732.2975,grasp,"[1.9919, -1.73758, 2.17187, -2.04712, 4.65657, 0.0]","[-6.66445, -0.37479, 2.25242]",closed,pkg_000
41.3,1786770736.8042,lift,"[1.9919, -1.89282, 2.17121, -2.04776, 4.65647, 0.0]","[-6.64446, -0.41939, 2.33268]",closed,pkg_000
47.8833,1786770751.2306,drop,"[3.49016, -1.59981, 1.4441, -2.05469, 4.65099, -1e-05]","[-6.8995, -1.18627, 2.67256]",open,pkg_000
47.9167,1786770751.366,package_spawned,"[3.49069, -1.59921, 1.44618, -2.05255, 4.65256, -1e-05]","[-6.8998, -1.18693, 2.67033]",open,pkg_003
64.1333,1786770788.3755,grasp,"[1.85205, -1.51769, 1.97183, -2.04712, 4.65648, 0.0]","[-6.63698, -0.20569, 2.24745]",closed,pkg_001
65.5833,1786770791.8308,lift,"[1.85189, -1.64501, 1.97218, -2.04712, 4.65659, -0.0]","[-6.62585, -0.24391, 2.3294]",closed,pkg_001
66.45,1786770794.0124,package_arrived,"[1.85607, -1.90486, 1.97218, -2.04713, 4.6566, -0.0]","[-6.59678, -0.35232, 2.47806]",closed,pkg_003
75.1833,1786770814.0225,drop,"[3.25186, -1.33236, 1.09258, -2.04726, 4.65674, -0.0]","[-7.12556, -1.05119, 2.71396]",open,pkg_001
75.2167,1786770814.1502,package_spawned,"[3.25186, -1.32949, 1.09253, -2.04725, 4.65673, -0.0]","[-7.12765, -1.05142, 2.71156]",open,pkg_004
